enrollment,actual_duration,AE_total_serious,mean_age_imp,phase_encoded,dropout_rate
95.0,1.0,0.0,29.0,2,0.0
22.0,27.0,1.0,41.5,4,22.727272727272727
327.0,6.0,239.0,33.89936608557845,6,2.4464831804281344
34.0,7.0,0.0,33.89936608557845,7,0.0
120.0,1.0,0.0,41.5,7,0.0
480.0,17.0,65.0,33.89936608557845,4,5.625
20.0,84.0,138.0,46.5,4,5.0
277.0,17.0,36.0,41.5,6,14.8014440433213
120.0,0.0,0.0,41.5,7,0.8333333333333334
24.0,68.0,88.0,41.5,4,0.0
1054.0,14.0,16.0,13.0,6,1.5180265654648957
107.0,35.0,23.0,41.5,0,32.71028037383177
910.0,19.0,120.0,33.89936608557845,4,18.461538461538463
31.0,19.0,0.0,33.89936608557845,0,0.0
745.0,12.0,1.0,33.89936608557845,6,0.6711409395973155
312.0,3.0,8.0,33.89936608557845,4,0.3205128205128205
1025.0,14.0,118.0,33.89936608557845,4,2.1463414634146343
302.0,15.0,96.0,33.89936608557845,6,1.6556291390728477
163.0,8.0,13.0,33.89936608557845,4,14.11042944785276
300.0,5.0,1.0,33.89936608557845,7,0.0
2141.0,53.0,79.0,41.0,6,71.22839794488557
763.0,6.0,18.0,33.89936608557845,6,3.669724770642202
271.0,39.0,0.0,10.0,6,2.5830258302583027
1250.0,8.0,22.0,41.0,4,0.5599999999999999
43.0,47.0,0.0,31.5,3,2.3255813953488373
36.0,60.0,0.0,44.0,4,25.0
136.0,15.0,12.0,52.5,4,2.2058823529411766
81.0,20.0,0.0,41.0,7,2.469135802469136
240.0,22.0,1.0,29.0,2,0.4166666666666667
126.0,1.0,0.0,41.5,6,0.0
200.0,2.0,2.0,41.5,7,0.0
531.0,9.0,6.0,33.89936608557845,4,0.7532956685499058
60.0,9.0,0.0,15.0,4,0.0
165.0,13.0,3.0,33.89936608557845,6,0.6060606060606061
231.0,11.0,1.0,54.0,4,3.0303030303030303
20.0,5.0,0.0,25.0,7,0.0
100.0,6.0,3.0,42.0,4,0.0
282.0,16.0,4.0,33.89936608557845,6,28.723404255319156
101.0,32.0,1.0,13.5,4,0.99009900990099
750.0,9.0,261.0,33.89936608557845,6,10.133333333333333
240.0,18.0,7.0,38.5,4,51.24999999999999
1301.0,27.0,792.0,33.89936608557845,4,11.068408916218294
1761.0,19.0,61.0,33.89936608557845,6,12.49290176036343
2357.0,17.0,31.0,41.5,6,31.01400084853628
80.0,7.0,0.0,34.0,4,0.0
360.0,5.0,0.0,28.5,6,0.2777777777777778
31.0,87.0,18.0,69.0,3,9.67741935483871
480.0,40.0,219.0,33.89936608557845,4,18.33333333333333
388.0,9.0,96.0,33.89936608557845,4,3.0927835051546397
165.0,3.0,0.0,33.89936608557845,6,1.2121212121212122
22.0,84.0,14.0,41.5,0,4.545454545454546
